,Net_Artikels,Max,Min
2022-12-25,1919.0,2169.0,1669.0
2023-01-01,1319.0,1569.0,1069.0
2023-01-08,710.0,960.0,460.0
2023-01-15,1120.0,1370.0,870.0
2023-01-22,1352.0,1602.0,1102.0
2023-01-29,1462.0,1712.0,1212.0
2023-02-05,1517.0,1767.0,1267.0
2023-02-12,1615.0,1865.0,1365.0
2023-02-19,1614.0,1864.0,1364.0
2023-02-26,1707.0,1957.0,1457.0
2023-03-05,1890.0,2140.0,1640.0
2023-03-12,1919.0,2169.0,1669.0
2023-03-19,2010.0,2260.0,1760.0
2023-03-26,2073.0,2323.0,1823.0
2023-04-02,2121.0,2371.0,1871.0
2023-04-09,2248.0,2498.0,1998.0
2023-04-16,2306.0,2556.0,2056.0
2023-04-23,2298.0,2548.0,2048.0
2023-04-30,2115.0,2365.0,1865.0
2023-05-07,2138.0,2388.0,1888.0
2023-05-14,2236.0,2486.0,1986.0
2023-05-21,2134.0,2384.0,1884.0
2023-05-28,2179.0,2429.0,1929.0
2023-06-04,2144.0,2394.0,1894.0
2023-06-11,2290.0,2540.0,2040.0
2023-06-18,2333.0,2583.0,2083.0
2023-06-25,2423.0,2673.0,2173.0
2023-07-02,2554.0,2804.0,2304.0
2023-07-09,2583.0,2833.0,2333.0
2023-07-16,2673.0,2923.0,2423.0
2023-07-23,2734.0,2984.0,2484.0
2023-07-30,2441.0,2691.0,2191.0
2023-08-06,2043.0,2293.0,1793.0
2023-08-13,1612.0,1862.0,1362.0
2023-08-20,1385.0,1635.0,1135.0
2023-08-27,1612.0,1862.0,1362.0
2023-09-03,1869.0,2119.0,1619.0
2023-09-10,2042.0,2292.0,1792.0
2023-09-17,2117.0,2367.0,1867.0
2023-09-24,2277.0,2527.0,2027.0
2023-10-01,2451.0,2701.0,2201.0
2023-10-08,2494.0,2744.0,2244.0
2023-10-15,2626.0,2876.0,2376.0
2023-10-22,2621.0,2871.0,2371.0
2023-10-29,2603.0,2853.0,2353.0
2023-11-05,2574.0,2824.0,2324.0
2023-11-12,2529.0,2779.0,2279.0
2023-11-19,2572.0,2822.0,2322.0
2023-11-26,2496.0,2746.0,2246.0
2023-12-03,2377.0,2627.0,2127.0
2023-12-10,2286.0,2536.0,2036.0
2023-12-17,2154.0,2404.0,1904.0
