Datum,Value,Code
2012-01-26 00:00:00,59,C02-80
2012-01-26 00:00:00,460,J16-90
2012-01-26 00:00:00,731,PB6090
2012-01-26 00:00:00,439,TB80120G
2012-01-27 00:00:00,279,A01-80-(30)
2012-01-27 00:00:00,1045,AHEK
2012-01-27 00:00:00,59,C02-80
2012-01-27 00:00:00,465,J16-90
2012-01-27 00:00:00,741,PB6090
2012-01-27 00:00:00,458,TB80120G
2012-01-28 00:00:00,251,A01-80-(30)
2012-01-28 00:00:00,1007,AHEK
2012-01-28 00:00:00,58,C02-80
2012-01-28 00:00:00,421,J16-90
2012-01-28 00:00:00,681,PB6090
2012-01-28 00:00:00,403,TB80120G
2012-01-29 00:00:00,251,A01-80-(30)
2012-01-29 00:00:00,990,AHEK
2012-01-29 00:00:00,58,C02-80
2012-01-29 00:00:00,421,J16-90
2012-01-29 00:00:00,681,PB6090
2012-01-29 00:00:00,403,TB80120G
2012-01-30 00:00:00,282,A01-80-(30)
2012-01-30 00:00:00,1026,AHEK
2012-01-30 00:00:00,58,C02-80
2012-01-30 00:00:00,466,J16-90
2012-01-30 00:00:00,702,PB6090
2012-01-30 00:00:00,423,TB80120G
2012-01-31 00:00:00,252,A01-80-(30)
2012-01-31 00:00:00,1013,AHEK
2012-01-31 00:00:00,57,C02-80
2012-01-31 00:00:00,420,J16-90
2012-01-31 00:00:00,663,PB6090
2012-01-31 00:00:00,392,TB80120G
2012-02-01 00:00:00,245,A01-80-(30)
2012-02-01 00:00:00,1019,AHEK
2012-02-01 00:00:00,53,C02-80
2012-02-01 00:00:00,406,J16-90
2012-02-01 00:00:00,646,PB6090
2012-02-01 00:00:00,382,TB80120G
2012-02-02 00:00:00,231,A01-80-(30)
2012-02-02 00:00:00,1003,AHEK
2012-02-02 00:00:00,53,C02-80
2012-02-02 00:00:00,388,J16-90
2012-02-02 00:00:00,622,PB6090
2012-02-02 00:00:00,370,TB80120G
2012-02-03 00:00:00,226,A01-80-(30)
2012-02-03 00:00:00,989,AHEK
2012-02-03 00:00:00,51,C02-80
2012-02-03 00:00:00,379,J16-90
2012-02-03 00:00:00,638,PB6090
2012-02-03 00:00:00,376,TB80120G
2012-02-04 00:00:00,213,A01-80-(30)
2012-02-04 00:00:00,960,AHEK
2012-02-04 00:00:00,51,C02-80
2012-02-04 00:00:00,372,J16-90
2012-02-04 00:00:00,622,PB6090
2012-02-04 00:00:00,318,TB80120G
2012-02-05 00:00:00,213,A01-80-(30)
2012-02-05 00:00:00,960,AHEK
