,Net_Artikels
2022-01-02,717.0
2022-01-09,745.0
2022-01-16,785.0
2022-01-23,799.0
2022-01-30,799.0
2022-02-06,809.0
2022-02-13,816.0
2022-02-20,828.0
2022-02-27,839.0
2022-03-06,855.0
2022-03-13,853.0
2022-03-20,865.0
2022-03-27,862.0
2022-04-03,883.0
2022-04-10,1045.0
2022-04-17,1023.0
2022-04-24,878.0
2022-05-01,864.0
2022-05-08,868.0
2022-05-15,875.0
2022-05-22,889.0
2022-05-29,884.0
2022-06-05,890.0
2022-06-12,894.0
2022-06-19,888.0
2022-06-26,904.0
2022-07-03,910.0
2022-07-10,904.0
2022-07-17,894.0
2022-07-24,870.0
2022-07-31,788.0
2022-08-07,793.0
2022-08-14,787.0
2022-08-21,807.0
2022-08-28,851.0
2022-09-04,870.0
2022-09-11,877.0
2022-09-18,908.0
2022-09-25,927.0
2022-10-02,921.0
2022-10-09,920.0
2022-10-16,941.0
2022-10-23,952.0
2022-10-30,978.0
2022-11-06,926.0
2022-11-13,920.0
2022-11-20,913.0
2022-11-27,919.0
2022-12-04,915.0
2022-12-11,933.0
2022-12-18,895.0
2022-12-25,798.0
