,Net_Artikels
2021-01-03,3032.0
2021-01-10,3194.0
2021-01-17,3253.0
2021-01-24,3295.0
2021-01-31,3333.0
2021-02-07,3370.0
2021-02-14,3386.0
2021-02-21,3442.0
2021-02-28,3459.0
2021-03-07,3520.0
2021-03-14,3562.0
2021-03-21,3618.0
2021-03-28,3626.0
2021-04-04,3605.0
2021-04-11,3731.0
2021-04-18,3705.0
2021-04-25,3632.0
2021-05-02,3629.0
2021-05-09,3629.0
2021-05-16,3602.0
2021-05-23,3638.0
2021-05-30,3634.0
2021-06-06,3674.0
2021-06-13,3692.0
2021-06-20,3676.0
2021-06-27,3670.0
2021-07-04,3665.0
2021-07-11,3578.0
2021-07-18,3577.0
2021-07-25,3508.0
2021-08-01,3450.0
2021-08-08,3386.0
2021-08-15,3372.0
2021-08-22,3483.0
2021-08-29,3620.0
2021-09-05,3709.0
2021-09-12,3728.0
2021-09-19,3788.0
2021-09-26,3839.0
2021-10-03,3822.0
2021-10-10,3831.0
2021-10-17,3874.0
2021-10-24,3844.0
2021-10-31,3851.0
2021-11-07,3820.0
2021-11-14,3802.0
2021-11-21,3757.0
2021-11-28,3783.0
2021-12-05,3759.0
2021-12-12,3686.0
2021-12-19,3631.0
2021-12-26,3367.0
