,Net_Artikels
2021-01-03,1671.0
2021-01-10,1939.0
2021-01-17,3100.0
2021-01-24,3107.0
2021-01-31,3195.0
2021-02-07,3317.0
2021-02-14,3524.0
2021-02-21,3716.0
2021-02-28,3801.0
2021-03-07,3919.0
2021-03-14,4132.0
2021-03-21,4532.0
2021-03-28,4668.0
2021-04-04,4846.0
2021-04-11,5013.0
2021-04-18,4886.0
2021-04-25,5009.0
2021-05-02,5033.0
2021-05-09,5218.0
2021-05-16,5242.0
2021-05-23,5431.0
2021-05-30,5467.0
2021-06-06,5402.0
2021-06-13,5690.0
2021-06-20,5630.0
2021-06-27,5542.0
2021-07-04,5316.0
2021-07-11,5075.0
2021-07-18,5039.0
2021-07-25,4822.0
2021-08-01,4386.0
2021-08-08,3850.0
2021-08-15,3793.0
2021-08-22,4069.0
2021-08-29,4318.0
2021-09-05,4474.0
2021-09-12,4519.0
2021-09-19,4882.0
2021-09-26,5183.0
2021-10-03,5228.0
2021-10-10,5305.0
2021-10-17,5553.0
2021-10-24,5427.0
2021-10-31,5564.0
2021-11-07,5397.0
2021-11-14,5131.0
2021-11-21,5217.0
2021-11-28,5002.0
2021-12-05,5086.0
2021-12-12,4647.0
2021-12-19,4005.0
2021-12-26,3059.0
