,Net_Artikels,Max,Min
2022-01-16,12274.0,14274.0,10274.0
2022-01-23,13752.0,15752.0,11752.0
2022-01-30,14591.0,16591.0,12591.0
2022-02-06,16114.0,18114.0,14114.0
2022-02-13,16421.0,18421.0,14421.0
2022-02-20,16542.0,18542.0,14542.0
2022-02-27,17456.0,19456.0,15456.0
2022-03-06,18268.0,20268.0,16268.0
2022-03-13,19229.0,21229.0,17229.0
2022-03-20,20168.0,22168.0,18168.0
2022-03-27,20606.0,22606.0,18606.0
2022-04-03,21118.0,23118.0,19118.0
2022-04-10,21142.0,23142.0,19142.0
2022-04-17,20313.0,22313.0,18313.0
2022-04-24,20502.0,22502.0,18502.0
2022-05-01,19922.0,21922.0,17922.0
2022-05-08,19331.0,21331.0,17331.0
2022-05-15,19347.0,21347.0,17347.0
2022-05-22,19626.0,21626.0,17626.0
2022-05-29,18457.0,20457.0,16457.0
2022-06-05,18458.0,20458.0,16458.0
2022-06-12,18911.0,20911.0,16911.0
2022-06-19,19996.0,21996.0,17996.0
2022-06-26,20282.0,22282.0,18282.0
2022-07-03,20462.0,22462.0,18462.0
2022-07-10,19928.0,21928.0,17928.0
2022-07-17,20012.0,22012.0,18012.0
2022-07-24,19063.0,21063.0,17063.0
2022-07-31,16456.0,18456.0,14456.0
2022-08-07,13593.0,15593.0,11593.0
2022-08-14,13313.0,15313.0,11313.0
2022-08-21,13913.0,15913.0,11913.0
2022-08-28,15768.0,17768.0,13768.0
2022-09-04,17205.0,19205.0,15205.0
2022-09-11,18567.0,20567.0,16567.0
2022-09-18,19675.0,21675.0,17675.0
2022-09-25,20104.0,22104.0,18104.0
2022-10-02,21108.0,23108.0,19108.0
2022-10-09,22314.0,24314.0,20314.0
2022-10-16,22901.0,24901.0,20901.0
2022-10-23,22601.0,24601.0,20601.0
2022-10-30,21872.0,23872.0,19872.0
2022-11-06,21980.0,23980.0,19980.0
2022-11-13,20868.0,22868.0,18868.0
2022-11-20,21022.0,23022.0,19022.0
2022-11-27,21140.0,23140.0,19140.0
2022-12-04,20389.0,22389.0,18389.0
2022-12-11,19785.0,21785.0,17785.0
2022-12-18,18907.0,20907.0,16907.0
2022-12-25,16583.0,18583.0,14583.0
2023-01-01,9542.0,11542.0,7542.0
2023-01-08,8778.0,10778.0,6778.0
