,Net_Artikels
2022-01-02,5552.0
2022-01-09,3939.0
2022-01-16,4621.0
2022-01-23,4708.0
2022-01-30,5077.0
2022-02-06,5390.0
2022-02-13,5619.0
2022-02-20,5786.0
2022-02-27,6264.0
2022-03-06,6722.0
2022-03-13,6769.0
2022-03-20,6930.0
2022-03-27,7257.0
2022-04-03,7630.0
2022-04-10,7907.0
2022-04-17,8026.0
2022-04-24,8084.0
2022-05-01,8014.0
2022-05-08,7846.0
2022-05-15,8030.0
2022-05-22,8027.0
2022-05-29,8054.0
2022-06-05,8115.0
2022-06-12,8137.0
2022-06-19,8223.0
2022-06-26,8271.0
2022-07-03,8359.0
2022-07-10,8591.0
2022-07-17,8483.0
2022-07-24,8204.0
2022-07-31,7714.0
2022-08-07,6729.0
2022-08-14,5951.0
2022-08-21,5694.0
2022-08-28,6239.0
2022-09-04,7109.0
2022-09-11,7649.0
2022-09-18,8358.0
2022-09-25,8873.0
2022-10-02,9240.0
2022-10-09,9470.0
2022-10-16,9759.0
2022-10-23,9729.0
2022-10-30,9711.0
2022-11-06,9667.0
2022-11-13,9645.0
2022-11-20,9686.0
2022-11-27,9684.0
2022-12-04,9817.0
2022-12-11,9505.0
2022-12-18,8954.0
2022-12-25,8255.0
