,Net_Artikels,Max,Min
2020-01-05,91.0,116.0,66.0
2020-01-12,113.0,138.0,88.0
2020-01-19,118.0,143.0,93.0
2020-01-26,123.0,148.0,98.0
2020-02-02,124.0,149.0,99.0
2020-02-09,112.0,137.0,87.0
2020-02-16,116.0,141.0,91.0
2020-02-23,117.0,142.0,92.0
2020-03-01,120.0,145.0,95.0
2020-03-08,113.0,138.0,88.0
2020-03-15,133.0,158.0,108.0
2020-03-22,153.0,178.0,128.0
2020-03-29,164.0,189.0,139.0
2020-04-05,165.0,190.0,140.0
2020-04-12,185.0,210.0,160.0
2020-04-19,181.0,206.0,156.0
2020-04-26,170.0,195.0,145.0
2020-05-03,179.0,204.0,154.0
2020-05-10,172.0,197.0,147.0
2020-05-17,174.0,199.0,149.0
2020-05-24,176.0,201.0,151.0
2020-05-31,175.0,200.0,150.0
2020-06-07,164.0,189.0,139.0
2020-06-14,175.0,200.0,150.0
2020-06-21,171.0,196.0,146.0
2020-06-28,188.0,213.0,163.0
2020-07-05,198.0,223.0,173.0
2020-07-12,185.0,210.0,160.0
2020-07-19,170.0,195.0,145.0
2020-07-26,152.0,177.0,127.0
2020-08-02,146.0,171.0,121.0
2020-08-09,140.0,165.0,115.0
2020-08-16,146.0,171.0,121.0
2020-08-23,165.0,190.0,140.0
2020-08-30,177.0,202.0,152.0
2020-09-06,179.0,204.0,154.0
2020-09-13,190.0,215.0,165.0
2020-09-20,208.0,233.0,183.0
2020-09-27,217.0,242.0,192.0
2020-10-04,204.0,229.0,179.0
2020-10-11,202.0,227.0,177.0
2020-10-18,203.0,228.0,178.0
2020-10-25,199.0,224.0,174.0
2020-11-01,185.0,210.0,160.0
2020-11-08,169.0,194.0,144.0
2020-11-15,177.0,202.0,152.0
2020-11-22,180.0,205.0,155.0
2020-11-29,163.0,188.0,138.0
2020-12-06,163.0,188.0,138.0
2020-12-13,159.0,184.0,134.0
2020-12-20,146.0,171.0,121.0
2020-12-27,125.0,150.0,100.0
