,Net_Artikels
2022-12-25,124.0
2023-01-01,104.0
2023-01-08,103.0
2023-01-15,119.0
2023-01-22,121.0
2023-01-29,122.0
2023-02-05,122.0
2023-02-12,124.0
2023-02-19,123.0
2023-02-26,127.0
2023-03-05,129.0
2023-03-12,138.0
2023-03-19,146.0
2023-03-26,152.0
2023-04-02,147.0
2023-04-09,154.0
2023-04-16,151.0
2023-04-23,148.0
2023-04-30,148.0
2023-05-07,143.0
2023-05-14,149.0
2023-05-21,149.0
2023-05-28,146.0
2023-06-04,141.0
2023-06-11,145.0
2023-06-18,144.0
2023-06-25,150.0
2023-07-02,157.0
2023-07-09,156.0
2023-07-16,151.0
2023-07-23,145.0
2023-07-30,140.0
2023-08-06,128.0
2023-08-13,126.0
2023-08-20,131.0
2023-08-27,145.0
2023-09-03,155.0
2023-09-10,161.0
2023-09-17,170.0
2023-09-24,165.0
2023-10-01,166.0
2023-10-08,165.0
2023-10-15,167.0
2023-10-22,167.0
2023-10-29,167.0
2023-11-05,160.0
2023-11-12,162.0
2023-11-19,159.0
2023-11-26,157.0
2023-12-03,156.0
2023-12-10,153.0
2023-12-17,148.0
