,Net_Artikels,Max,Min
2022-01-02,1955.0,2205.0,1705.0
2022-01-09,1917.0,2167.0,1667.0
2022-01-16,2601.0,2851.0,2351.0
2022-01-23,2753.0,3003.0,2503.0
2022-01-30,2836.0,3086.0,2586.0
2022-02-06,2957.0,3207.0,2707.0
2022-02-13,3040.0,3290.0,2790.0
2022-02-20,3085.0,3335.0,2835.0
2022-02-27,3314.0,3564.0,3064.0
2022-03-06,3515.0,3765.0,3265.0
2022-03-13,3782.0,4032.0,3532.0
2022-03-20,3909.0,4159.0,3659.0
2022-03-27,3988.0,4238.0,3738.0
2022-04-03,4129.0,4379.0,3879.0
2022-04-10,4213.0,4463.0,3963.0
2022-04-17,4221.0,4471.0,3971.0
2022-04-24,4393.0,4643.0,4143.0
2022-05-01,4333.0,4583.0,4083.0
2022-05-08,4424.0,4674.0,4174.0
2022-05-15,4513.0,4763.0,4263.0
2022-05-22,4622.0,4872.0,4372.0
2022-05-29,4554.0,4804.0,4304.0
2022-06-05,4677.0,4927.0,4427.0
2022-06-12,4738.0,4988.0,4488.0
2022-06-19,4995.0,5245.0,4745.0
2022-06-26,5394.0,5644.0,5144.0
2022-07-03,5478.0,5728.0,5228.0
2022-07-10,5281.0,5531.0,5031.0
2022-07-17,5132.0,5382.0,4882.0
2022-07-24,4912.0,5162.0,4662.0
2022-07-31,4521.0,4771.0,4271.0
2022-08-07,4000.0,4250.0,3750.0
2022-08-14,3723.0,3973.0,3473.0
2022-08-21,3852.0,4102.0,3602.0
2022-08-28,4343.0,4593.0,4093.0
2022-09-04,4686.0,4936.0,4436.0
2022-09-11,4791.0,5041.0,4541.0
2022-09-18,4895.0,5145.0,4645.0
2022-09-25,4703.0,4953.0,4453.0
2022-10-02,4652.0,4902.0,4402.0
2022-10-09,4697.0,4947.0,4447.0
2022-10-16,4996.0,5246.0,4746.0
2022-10-23,5038.0,5288.0,4788.0
2022-10-30,4979.0,5229.0,4729.0
2022-11-06,4687.0,4937.0,4437.0
2022-11-13,4584.0,4834.0,4334.0
2022-11-20,4480.0,4730.0,4230.0
2022-11-27,4328.0,4578.0,4078.0
2022-12-04,4207.0,4457.0,3957.0
2022-12-11,3886.0,4136.0,3636.0
2022-12-18,3568.0,3818.0,3318.0
2022-12-25,3097.0,3347.0,2847.0
