,Net_Artikels,Max,Min
2022-01-16,10294.0,12294.0,8294.0
2022-01-23,12157.0,14157.0,10157.0
2022-01-30,13158.0,15158.0,11158.0
2022-02-06,13883.0,15883.0,11883.0
2022-02-13,14468.0,16468.0,12468.0
2022-02-20,14604.0,16604.0,12604.0
2022-02-27,15475.0,17475.0,13475.0
2022-03-06,16353.0,18353.0,14353.0
2022-03-13,16609.0,18609.0,14609.0
2022-03-20,17557.0,19557.0,15557.0
2022-03-27,18504.0,20504.0,16504.0
2022-04-03,18938.0,20938.0,16938.0
2022-04-10,19479.0,21479.0,17479.0
2022-04-17,20668.0,22668.0,18668.0
2022-04-24,20565.0,22565.0,18565.0
2022-05-01,20294.0,22294.0,18294.0
2022-05-08,20106.0,22106.0,18106.0
2022-05-15,20193.0,22193.0,18193.0
2022-05-22,20315.0,22315.0,18315.0
2022-05-29,20342.0,22342.0,18342.0
2022-06-05,20338.0,22338.0,18338.0
2022-06-12,20978.0,22978.0,18978.0
2022-06-19,21515.0,23515.0,19515.0
2022-06-26,22171.0,24171.0,20171.0
2022-07-03,22832.0,24832.0,20832.0
2022-07-10,23329.0,25329.0,21329.0
2022-07-17,22942.0,24942.0,20942.0
2022-07-24,22666.0,24666.0,20666.0
2022-07-31,21218.0,23218.0,19218.0
2022-08-07,19309.0,21309.0,17309.0
2022-08-14,16502.0,18502.0,14502.0
2022-08-21,15911.0,17911.0,13911.0
2022-08-28,17661.0,19661.0,15661.0
2022-09-04,19603.0,21603.0,17603.0
2022-09-11,21005.0,23005.0,19005.0
2022-09-18,22538.0,24538.0,20538.0
2022-09-25,24318.0,26318.0,22318.0
2022-10-02,24409.0,26409.0,22409.0
2022-10-09,24191.0,26191.0,22191.0
2022-10-16,24354.0,26354.0,22354.0
2022-10-23,24736.0,26736.0,22736.0
2022-10-30,24522.0,26522.0,22522.0
2022-11-06,24113.0,26113.0,22113.0
2022-11-13,23448.0,25448.0,21448.0
2022-11-20,22975.0,24975.0,20975.0
2022-11-27,22514.0,24514.0,20514.0
2022-12-04,22317.0,24317.0,20317.0
2022-12-11,21393.0,23393.0,19393.0
2022-12-18,19319.0,21319.0,17319.0
2022-12-25,17678.0,19678.0,15678.0
2023-01-01,13293.0,15293.0,11293.0
2023-01-08,9070.0,11070.0,7070.0
