Datum,Value,Code
2022-10-13 00:00:00,24398,P3
2022-10-12 00:00:00,21664,BAAK
2022-10-12 00:00:00,24158,P3
2022-10-11 00:00:00,22289,BAAK
2022-10-11 00:00:00,24212,P3
2022-10-10 00:00:00,22499,BAAK
2022-10-10 00:00:00,24981,P3
2022-10-09 00:00:00,20398,BAAK
2022-10-09 00:00:00,23614,P3
2022-10-08 00:00:00,20496,BAAK
2022-10-08 00:00:00,23919,P3
2022-10-07 00:00:00,22276,BAAK
2022-10-07 00:00:00,25760,P3
2022-10-06 00:00:00,22616,BAAK
2022-10-06 00:00:00,25128,P3
2022-10-05 00:00:00,22449,BAAK
2022-10-05 00:00:00,24914,P3
2022-10-04 00:00:00,22391,BAAK
2022-10-04 00:00:00,24960,P3
2022-10-03 00:00:00,22658,BAAK
2022-10-03 00:00:00,24648,P3
2022-10-02 00:00:00,20871,BAAK
2022-10-02 00:00:00,22580,P3
2022-10-01 00:00:00,20900,BAAK
2022-10-01 00:00:00,22531,P3
2022-09-30 00:00:00,22670,BAAK
2022-09-30 00:00:00,24860,P3
2022-09-29 00:00:00,22559,BAAK
2022-09-29 00:00:00,24702,P3
2022-09-28 00:00:00,22253,BAAK
2022-09-28 00:00:00,24511,P3
2022-09-27 00:00:00,21991,BAAK
2022-09-27 00:00:00,24262,P3
2022-09-26 00:00:00,21980,BAAK
2022-09-26 00:00:00,25369,P3
2022-09-25 00:00:00,21051,BAAK
2022-09-25 00:00:00,23646,P3
2022-09-24 00:00:00,21099,BAAK
2022-09-24 00:00:00,23702,P3
2022-09-23 00:00:00,22136,BAAK
2022-09-23 00:00:00,25089,P3
2022-09-22 00:00:00,21482,BAAK
2022-09-22 00:00:00,24013,P3
2022-09-21 00:00:00,21597,BAAK
2022-09-21 00:00:00,24076,P3
2022-09-20 00:00:00,21731,BAAK
2022-09-20 00:00:00,25055,P3
2022-09-19 00:00:00,21201,BAAK
2022-09-19 00:00:00,25577,P3
2022-09-18 00:00:00,19571,BAAK
2022-09-18 00:00:00,23681,P3
2022-09-17 00:00:00,19586,BAAK
2022-09-17 00:00:00,23693,P3
2022-09-16 00:00:00,20943,BAAK
2022-09-16 00:00:00,25144,P3
2022-09-15 00:00:00,20948,BAAK
2022-09-15 00:00:00,24239,P3
2022-09-14 00:00:00,20942,BAAK
2022-09-14 00:00:00,23712,P3
2022-09-13 00:00:00,21005,BAAK
2022-09-13 00:00:00,23371,P3
2022-09-12 00:00:00,20746,BAAK
2022-09-12 00:00:00,23326,P3
2022-09-11 00:00:00,18790,BAAK
2022-09-11 00:00:00,21359,P3
2022-09-10 00:00:00,18804,BAAK
2022-09-10 00:00:00,21555,P3
2022-09-09 00:00:00,19453,BAAK
2022-09-09 00:00:00,22937,P3
2022-09-08 00:00:00,19117,BAAK
2022-09-08 00:00:00,22372,P3
2022-09-07 00:00:00,19385,BAAK
2022-09-07 00:00:00,22207,P3
2022-09-06 00:00:00,18601,BAAK
2022-09-06 00:00:00,21923,P3
2022-09-05 00:00:00,18858,BAAK
2022-09-05 00:00:00,23730,P3
2022-09-04 00:00:00,17580,BAAK
2022-09-04 00:00:00,21881,P3
2022-09-03 00:00:00,17779,BAAK
2022-09-03 00:00:00,22093,P3
2022-09-02 00:00:00,18865,BAAK
2022-09-02 00:00:00,23426,P3
2022-09-01 00:00:00,18666,BAAK
2022-09-01 00:00:00,22656,P3
2022-08-31 00:00:00,18458,BAAK
2022-08-31 00:00:00,22645,P3
2022-08-30 00:00:00,17957,BAAK
2022-08-30 00:00:00,21823,P3
2022-08-29 00:00:00,18025,BAAK
2022-08-29 00:00:00,22040,P3
2022-08-28 00:00:00,16070,BAAK
2022-08-28 00:00:00,20421,P3
2022-08-27 00:00:00,16337,BAAK
2022-08-27 00:00:00,20508,P3
2022-08-26 00:00:00,16822,BAAK
2022-08-26 00:00:00,21592,P3
2022-08-25 00:00:00,16177,BAAK
2022-08-25 00:00:00,20642,P3
2022-08-24 00:00:00,15924,BAAK
2022-08-24 00:00:00,20137,P3
2022-08-23 00:00:00,16028,BAAK
2022-08-23 00:00:00,19590,P3
2022-08-22 00:00:00,15394,BAAK
2022-08-22 00:00:00,19796,P3
2022-08-21 00:00:00,13915,BAAK
2022-08-21 00:00:00,18365,P3
2022-08-20 00:00:00,13627,BAAK
2022-08-20 00:00:00,18454,P3
2022-08-19 00:00:00,13987,BAAK
2022-08-19 00:00:00,19105,P3
2022-08-18 00:00:00,13202,BAAK
2022-08-18 00:00:00,18300,P3
2022-08-17 00:00:00,13169,BAAK
2022-08-17 00:00:00,17793,P3
2022-08-16 00:00:00,12764,BAAK
2022-08-16 00:00:00,17386,P3
2022-08-15 00:00:00,12914,BAAK
2022-08-15 00:00:00,17419,P3
2022-08-14 00:00:00,11181,BAAK
2022-08-14 00:00:00,14844,P3
2022-08-13 00:00:00,11191,BAAK
2022-08-13 00:00:00,14868,P3
2022-08-12 00:00:00,11392,BAAK
2022-08-12 00:00:00,15351,P3
2022-08-11 00:00:00,11010,BAAK
2022-08-11 00:00:00,14559,P3
2022-08-10 00:00:00,10782,BAAK
2022-08-10 00:00:00,14073,P3
2022-08-09 00:00:00,10616,BAAK
2022-08-09 00:00:00,14372,P3
2022-08-08 00:00:00,10415,BAAK
2022-08-08 00:00:00,14978,P3
2022-08-07 00:00:00,10391,BAAK
2022-08-07 00:00:00,14435,P3
2022-08-06 00:00:00,10386,BAAK
2022-08-06 00:00:00,14415,P3
2022-08-05 00:00:00,11092,BAAK
2022-08-05 00:00:00,15196,P3
2022-08-04 00:00:00,11114,BAAK
2022-08-04 00:00:00,15161,P3
2022-08-03 00:00:00,11606,BAAK
2022-08-03 00:00:00,15573,P3
2022-08-02 00:00:00,11774,BAAK
2022-08-02 00:00:00,15664,P3
2022-08-01 00:00:00,12444,BAAK
2022-08-01 00:00:00,16510,P3
2022-07-31 00:00:00,12070,BAAK
2022-07-31 00:00:00,15654,P3
2022-07-30 00:00:00,12092,BAAK
2022-07-30 00:00:00,15665,P3
2022-07-29 00:00:00,13459,BAAK
2022-07-29 00:00:00,17538,P3
2022-07-28 00:00:00,14194,BAAK
2022-07-28 00:00:00,18118,P3
2022-07-27 00:00:00,14966,BAAK
2022-07-27 00:00:00,18814,P3
2022-07-26 00:00:00,15232,BAAK
2022-07-26 00:00:00,19301,P3
2022-07-25 00:00:00,15830,BAAK
2022-07-25 00:00:00,20910,P3
2022-07-24 00:00:00,15198,BAAK
2022-07-24 00:00:00,19906,P3
2022-07-23 00:00:00,15018,BAAK
2022-07-23 00:00:00,19560,P3
2022-07-22 00:00:00,16859,BAAK
2022-07-22 00:00:00,21676,P3
2022-07-21 00:00:00,17686,BAAK
2022-07-21 00:00:00,21677,P3
2022-07-20 00:00:00,18349,BAAK
2022-07-20 00:00:00,22096,P3
2022-07-19 00:00:00,18691,BAAK
2022-07-19 00:00:00,22369,P3
