Datum,Value,Code
2007-01-26 00:00:00,9,C02-80
2007-01-26 00:00:00,277,J16-90
2007-01-26 00:00:00,332,PB6090
2007-01-26 00:00:00,103,TB80120G
2007-01-27 00:00:00,218,A01-80-(30)
2007-01-27 00:00:00,1109,AHEK
2007-01-27 00:00:00,9,C02-80
2007-01-27 00:00:00,271,J16-90
2007-01-27 00:00:00,332,PB6090
2007-01-27 00:00:00,103,TB80120G
2007-01-28 00:00:00,220,A01-80-(30)
2007-01-28 00:00:00,1111,AHEK
2007-01-28 00:00:00,9,C02-80
2007-01-28 00:00:00,273,J16-90
2007-01-28 00:00:00,332,PB6090
2007-01-28 00:00:00,103,TB80120G
2007-01-29 00:00:00,231,A01-80-(30)
2007-01-29 00:00:00,1144,AHEK
2007-01-29 00:00:00,9,C02-80
2007-01-29 00:00:00,293,J16-90
2007-01-29 00:00:00,342,PB6090
2007-01-29 00:00:00,109,TB80120G
2007-01-30 00:00:00,229,A01-80-(30)
2007-01-30 00:00:00,1122,AHEK
2007-01-30 00:00:00,9,C02-80
2007-01-30 00:00:00,285,J16-90
2007-01-30 00:00:00,351,PB6090
2007-01-30 00:00:00,124,TB80120G
2007-01-31 00:00:00,223,A01-80-(30)
2007-01-31 00:00:00,1105,AHEK
2007-01-31 00:00:00,9,C02-80
2007-01-31 00:00:00,277,J16-90
2007-01-31 00:00:00,335,PB6090
2007-01-31 00:00:00,127,TB80120G
2007-02-01 00:00:00,229,A01-80-(30)
2007-02-01 00:00:00,1133,AHEK
2007-02-01 00:00:00,9,C02-80
2007-02-01 00:00:00,292,J16-90
2007-02-01 00:00:00,335,PB6090
2007-02-01 00:00:00,129,TB80120G
2007-02-02 00:00:00,240,A01-80-(30)
2007-02-02 00:00:00,1097,AHEK
2007-02-02 00:00:00,9,C02-80
2007-02-02 00:00:00,306,J16-90
2007-02-02 00:00:00,350,PB6090
2007-02-02 00:00:00,132,TB80120G
2007-02-03 00:00:00,216,A01-80-(30)
2007-02-03 00:00:00,1036,AHEK
2007-02-03 00:00:00,7,C02-80
2007-02-03 00:00:00,278,J16-90
2007-02-03 00:00:00,328,PB6090
2007-02-03 00:00:00,121,TB80120G
2007-02-04 00:00:00,218,A01-80-(30)
2007-02-04 00:00:00,1038,AHEK
2007-02-04 00:00:00,7,C02-80
2007-02-04 00:00:00,280,J16-90
2007-02-04 00:00:00,328,PB6090
2007-02-04 00:00:00,121,TB80120G
2007-02-05 00:00:00,220,A01-80-(30)
2007-02-05 00:00:00,1098,AHEK
2007-02-05 00:00:00,8,C02-80
2007-02-05 00:00:00,290,J16-90
2007-02-05 00:00:00,346,PB6090
2007-02-05 00:00:00,130,TB80120G
2007-02-06 00:00:00,229,A01-80-(30)
2007-02-06 00:00:00,1107,AHEK
2007-02-06 00:00:00,8,C02-80
2007-02-06 00:00:00,293,J16-90
2007-02-06 00:00:00,350,PB6090
2007-02-06 00:00:00,134,TB80120G
2007-02-07 00:00:00,224,A01-80-(30)
2007-02-07 00:00:00,1118,AHEK
2007-02-07 00:00:00,8,C02-80
2007-02-07 00:00:00,288,J16-90
2007-02-07 00:00:00,350,PB6090
2007-02-07 00:00:00,136,TB80120G
2007-02-08 00:00:00,222,A01-80-(30)
2007-02-08 00:00:00,1118,AHEK
2007-02-08 00:00:00,8,C02-80
2007-02-08 00:00:00,294,J16-90
2007-02-08 00:00:00,369,PB6090
2007-02-08 00:00:00,139,TB80120G
2007-02-09 00:00:00,229,A01-80-(30)
2007-02-09 00:00:00,1096,AHEK
2007-02-09 00:00:00,7,C02-80
2007-02-09 00:00:00,306,J16-90
2007-02-09 00:00:00,362,PB6090
2007-02-09 00:00:00,135,TB80120G
2007-02-10 00:00:00,211,A01-80-(30)
