,Net_Artikels
2021-01-03,1973.0
2021-01-10,2094.0
2021-01-17,2470.0
2021-01-24,2519.0
2021-01-31,2565.0
2021-02-07,2652.0
2021-02-14,2711.0
2021-02-21,2809.0
2021-02-28,2908.0
2021-03-07,2964.0
2021-03-14,3172.0
2021-03-21,3315.0
2021-03-28,3343.0
2021-04-04,3458.0
2021-04-11,3527.0
2021-04-18,3515.0
2021-04-25,3608.0
2021-05-02,3578.0
2021-05-09,3725.0
2021-05-16,3728.0
2021-05-23,3841.0
2021-05-30,3834.0
2021-06-06,3894.0
2021-06-13,3894.0
2021-06-20,3964.0
2021-06-27,4131.0
2021-07-04,4095.0
2021-07-11,3995.0
2021-07-18,4004.0
2021-07-25,3919.0
2021-08-01,3757.0
2021-08-08,3600.0
2021-08-15,3721.0
2021-08-22,3861.0
2021-08-29,4168.0
2021-09-05,4153.0
2021-09-12,3970.0
2021-09-19,3994.0
2021-09-26,4005.0
2021-10-03,3979.0
2021-10-10,4059.0
2021-10-17,4164.0
2021-10-24,4263.0
2021-10-31,4230.0
2021-11-07,4051.0
2021-11-14,4020.0
2021-11-21,4051.0
2021-11-28,3946.0
2021-12-05,3826.0
2021-12-12,3491.0
2021-12-19,3160.0
2021-12-26,2845.0
