,Net_Artikels
2020-01-05,978.0
2020-01-12,1150.0
2020-01-19,1474.0
2020-01-26,1543.0
2020-02-02,1590.0
2020-02-09,1675.0
2020-02-16,1706.0
2020-02-23,1772.0
2020-03-01,1817.0
2020-03-08,1797.0
2020-03-15,2009.0
2020-03-22,2204.0
2020-03-29,2269.0
2020-04-05,2466.0
2020-04-12,2529.0
2020-04-19,2500.0
2020-04-26,2545.0
2020-05-03,2466.0
2020-05-10,2614.0
2020-05-17,2643.0
2020-05-24,2742.0
2020-05-31,2693.0
2020-06-07,2876.0
2020-06-14,2843.0
2020-06-21,3037.0
2020-06-28,3222.0
2020-07-05,3206.0
2020-07-12,3097.0
2020-07-19,3083.0
2020-07-26,2979.0
2020-08-02,2730.0
2020-08-09,2547.0
2020-08-16,2644.0
2020-08-23,2843.0
2020-08-30,3185.0
2020-09-06,3110.0
2020-09-13,3004.0
2020-09-20,3130.0
2020-09-27,3135.0
2020-10-04,3046.0
2020-10-11,3161.0
2020-10-18,3298.0
2020-10-25,3466.0
2020-11-01,3367.0
2020-11-08,3101.0
2020-11-15,2989.0
2020-11-22,3081.0
2020-11-29,2949.0
2020-12-06,2838.0
2020-12-13,2432.0
2020-12-20,2059.0
2020-12-27,1773.0
