,Net_Artikels,Max,Min
2021-01-03,1778.0,2028.0,1528.0
2021-01-10,1784.0,2034.0,1534.0
2021-01-17,2853.0,3103.0,2603.0
2021-01-24,3131.0,3381.0,2881.0
2021-01-31,3311.0,3561.0,3061.0
2021-02-07,3570.0,3820.0,3320.0
2021-02-14,3677.0,3927.0,3427.0
2021-02-21,3986.0,4236.0,3736.0
2021-02-28,4045.0,4295.0,3795.0
2021-03-07,4102.0,4352.0,3852.0
2021-03-14,4222.0,4472.0,3972.0
2021-03-21,4267.0,4517.0,4017.0
2021-03-28,4363.0,4613.0,4113.0
2021-04-04,4429.0,4679.0,4179.0
2021-04-11,4423.0,4673.0,4173.0
2021-04-18,4296.0,4546.0,4046.0
2021-04-25,4556.0,4806.0,4306.0
2021-05-02,4412.0,4662.0,4162.0
2021-05-09,4535.0,4785.0,4285.0
2021-05-16,4463.0,4713.0,4213.0
2021-05-23,4569.0,4819.0,4319.0
2021-05-30,4528.0,4778.0,4278.0
2021-06-06,4502.0,4752.0,4252.0
2021-06-13,4638.0,4888.0,4388.0
2021-06-20,4709.0,4959.0,4459.0
2021-06-27,4875.0,5125.0,4625.0
2021-07-04,4809.0,5059.0,4559.0
2021-07-11,4823.0,5073.0,4573.0
2021-07-18,4597.0,4847.0,4347.0
2021-07-25,4396.0,4646.0,4146.0
2021-08-01,3843.0,4093.0,3593.0
2021-08-08,2966.0,3216.0,2716.0
2021-08-15,2865.0,3115.0,2615.0
2021-08-22,3142.0,3392.0,2892.0
2021-08-29,3841.0,4091.0,3591.0
2021-09-05,4249.0,4499.0,3999.0
2021-09-12,4312.0,4562.0,4062.0
2021-09-19,4494.0,4744.0,4244.0
2021-09-26,4687.0,4937.0,4437.0
2021-10-03,4852.0,5102.0,4602.0
2021-10-10,4988.0,5238.0,4738.0
2021-10-17,5004.0,5254.0,4754.0
2021-10-24,5161.0,5411.0,4911.0
2021-10-31,5274.0,5524.0,5024.0
2021-11-07,5209.0,5459.0,4959.0
2021-11-14,4979.0,5229.0,4729.0
2021-11-21,4956.0,5206.0,4706.0
2021-11-28,4791.0,5041.0,4541.0
2021-12-05,4816.0,5066.0,4566.0
2021-12-12,4475.0,4725.0,4225.0
2021-12-19,4246.0,4496.0,3996.0
2021-12-26,3416.0,3666.0,3166.0
