,Net_Artikels
2021-01-03,1778.0
2021-01-10,1784.0
2021-01-17,2853.0
2021-01-24,3131.0
2021-01-31,3311.0
2021-02-07,3570.0
2021-02-14,3677.0
2021-02-21,3986.0
2021-02-28,4045.0
2021-03-07,4102.0
2021-03-14,4222.0
2021-03-21,4267.0
2021-03-28,4363.0
2021-04-04,4429.0
2021-04-11,4423.0
2021-04-18,4296.0
2021-04-25,4556.0
2021-05-02,4412.0
2021-05-09,4535.0
2021-05-16,4463.0
2021-05-23,4569.0
2021-05-30,4528.0
2021-06-06,4502.0
2021-06-13,4638.0
2021-06-20,4709.0
2021-06-27,4875.0
2021-07-04,4809.0
2021-07-11,4823.0
2021-07-18,4597.0
2021-07-25,4396.0
2021-08-01,3843.0
2021-08-08,2966.0
2021-08-15,2865.0
2021-08-22,3142.0
2021-08-29,3841.0
2021-09-05,4249.0
2021-09-12,4312.0
2021-09-19,4494.0
2021-09-26,4687.0
2021-10-03,4852.0
2021-10-10,4988.0
2021-10-17,5004.0
2021-10-24,5161.0
2021-10-31,5274.0
2021-11-07,5209.0
2021-11-14,4979.0
2021-11-21,4956.0
2021-11-28,4791.0
2021-12-05,4816.0
2021-12-12,4475.0
2021-12-19,4246.0
2021-12-26,3416.0
