,Net_Artikels
2023-01-08,2131.0
2023-01-15,3485.0
2023-01-22,4181.0
2023-01-29,4494.0
2023-02-05,4724.0
2023-02-12,4827.0
2023-02-19,4798.0
2023-02-26,4953.0
2023-03-05,5384.0
2023-03-12,5566.0
2023-03-19,5843.0
2023-03-26,5850.0
2023-04-02,5862.0
2023-04-09,5848.0
2023-04-16,5926.0
2023-04-23,5990.0
2023-04-30,5863.0
2023-05-07,5791.0
2023-05-14,5948.0
2023-05-21,5860.0
2023-05-28,5747.0
2023-06-04,5693.0
2023-06-11,5993.0
2023-06-18,6129.0
2023-06-25,6239.0
2023-07-02,6346.0
2023-07-09,6379.0
2023-07-16,6344.0
2023-07-23,6337.0
2023-07-30,5721.0
2023-08-06,4531.0
2023-08-13,3467.0
2023-08-20,3199.0
2023-08-27,3974.0
2023-09-03,4899.0
2023-09-10,5364.0
2023-09-17,5674.0
2023-09-24,5909.0
2023-10-01,6091.0
2023-10-08,6246.0
2023-10-15,6388.0
2023-10-22,6464.0
2023-10-29,6476.0
2023-11-05,6542.0
2023-11-12,6608.0
2023-11-19,6610.0
2023-11-26,6526.0
2023-12-03,6461.0
2023-12-10,6334.0
2023-12-17,6167.0
2023-12-24,5579.0
2023-12-31,4033.0
