,Net_Artikels
2020-01-05,2329.0
2020-01-12,2584.0
2020-01-19,3353.0
2020-01-26,3656.0
2020-02-02,3695.0
2020-02-09,3955.0
2020-02-16,4100.0
2020-02-23,4398.0
2020-03-01,4677.0
2020-03-08,4782.0
2020-03-15,4921.0
2020-03-22,5179.0
2020-03-29,5447.0
2020-04-05,5557.0
2020-04-12,5736.0
2020-04-19,5711.0
2020-04-26,5638.0
2020-05-03,5706.0
2020-05-10,5708.0
2020-05-17,5717.0
2020-05-24,5744.0
2020-05-31,5801.0
2020-06-07,5742.0
2020-06-14,5950.0
2020-06-21,5860.0
2020-06-28,6039.0
2020-07-05,6200.0
2020-07-12,6183.0
2020-07-19,5934.0
2020-07-26,5630.0
2020-08-02,5040.0
2020-08-09,4385.0
2020-08-16,4079.0
2020-08-23,4475.0
2020-08-30,5312.0
2020-09-06,5767.0
2020-09-13,6107.0
2020-09-20,6506.0
2020-09-27,6800.0
2020-10-04,6826.0
2020-10-11,6841.0
2020-10-18,7115.0
2020-10-25,7332.0
2020-11-01,7366.0
2020-11-08,7391.0
2020-11-15,7075.0
2020-11-22,7098.0
2020-11-29,7155.0
2020-12-06,6990.0
2020-12-13,6494.0
2020-12-20,5939.0
2020-12-27,5287.0
