,Net_Artikels,Max,Min
2022-01-02,5533.0,6033.0,5033.0
2022-01-09,3922.0,4422.0,3422.0
2022-01-16,4592.0,5092.0,4092.0
2022-01-23,4663.0,5163.0,4163.0
2022-01-30,5014.0,5514.0,4514.0
2022-02-06,5311.0,5811.0,4811.0
2022-02-13,5523.0,6023.0,5023.0
2022-02-20,5673.0,6173.0,5173.0
2022-02-27,6127.0,6627.0,5627.0
2022-03-06,6560.0,7060.0,6060.0
2022-03-13,6590.0,7090.0,6090.0
2022-03-20,6731.0,7231.0,6231.0
2022-03-27,7031.0,7531.0,6531.0
2022-04-03,7376.0,7876.0,6876.0
2022-04-10,7626.0,8126.0,7126.0
2022-04-17,7723.0,8223.0,7223.0
2022-04-24,7762.0,8262.0,7262.0
2022-05-01,7678.0,8178.0,7178.0
2022-05-08,7500.0,8000.0,7000.0
2022-05-15,7659.0,8159.0,7159.0
2022-05-22,7641.0,8141.0,7141.0
2022-05-29,7649.0,8149.0,7149.0
2022-06-05,7690.0,8190.0,7190.0
2022-06-12,7698.0,8198.0,7198.0
2022-06-19,7761.0,8261.0,7261.0
2022-06-26,7791.0,8291.0,7291.0
2022-07-03,7858.0,8358.0,7358.0
2022-07-10,8059.0,8559.0,7559.0
2022-07-17,7942.0,8442.0,7442.0
2022-07-24,7665.0,8165.0,7165.0
2022-07-31,7193.0,7693.0,6693.0
2022-08-07,6262.0,6762.0,5762.0
2022-08-14,5529.0,6029.0,5029.0
2022-08-21,5281.0,5781.0,4781.0
2022-08-28,5776.0,6276.0,5276.0
2022-09-04,6568.0,7068.0,6068.0
2022-09-11,7053.0,7553.0,6553.0
2022-09-18,7693.0,8193.0,7193.0
2022-09-25,8153.0,8653.0,7653.0
2022-10-02,8475.0,8975.0,7975.0
2022-10-09,8670.0,9170.0,8170.0
2022-10-16,8920.0,9420.0,8420.0
2022-10-23,8877.0,9377.0,8377.0
2022-10-30,8845.0,9345.0,8345.0
2022-11-06,8791.0,9291.0,8291.0
2022-11-13,8756.0,9256.0,8256.0
2022-11-20,8778.0,9278.0,8278.0
2022-11-27,8761.0,9261.0,8261.0
2022-12-04,8868.0,9368.0,8368.0
2022-12-11,8571.0,9071.0,8071.0
2022-12-18,8062.0,8562.0,7562.0
2022-12-25,7426.0,7926.0,6926.0
