,Net_Artikels,Max,Min
2022-01-02,2181.0,2681.0,1681.0
2022-01-09,1949.0,2449.0,1449.0
2022-01-16,3164.0,3664.0,2664.0
2022-01-23,3408.0,3908.0,2908.0
2022-01-30,3379.0,3879.0,2879.0
2022-02-06,3457.0,3957.0,2957.0
2022-02-13,3463.0,3963.0,2963.0
2022-02-20,3436.0,3936.0,2936.0
2022-02-27,3689.0,4189.0,3189.0
2022-03-06,3957.0,4457.0,3457.0
2022-03-13,4070.0,4570.0,3570.0
2022-03-20,4293.0,4793.0,3793.0
2022-03-27,4288.0,4788.0,3788.0
2022-04-03,4503.0,5003.0,4003.0
2022-04-10,4598.0,5098.0,4098.0
2022-04-17,4611.0,5111.0,4111.0
2022-04-24,4623.0,5123.0,4123.0
2022-05-01,4623.0,5123.0,4123.0
2022-05-08,4636.0,5136.0,4136.0
2022-05-15,4789.0,5289.0,4289.0
2022-05-22,4774.0,5274.0,4274.0
2022-05-29,4751.0,5251.0,4251.0
2022-06-05,4710.0,5210.0,4210.0
2022-06-12,4955.0,5455.0,4455.0
2022-06-19,5088.0,5588.0,4588.0
2022-06-26,5396.0,5896.0,4896.0
2022-07-03,5316.0,5816.0,4816.0
2022-07-10,5023.0,5523.0,4523.0
2022-07-17,4855.0,5355.0,4355.0
2022-07-24,4893.0,5393.0,4393.0
2022-07-31,4553.0,5053.0,4053.0
2022-08-07,3744.0,4244.0,3244.0
2022-08-14,3363.0,3863.0,2863.0
2022-08-21,3572.0,4072.0,3072.0
2022-08-28,4071.0,4571.0,3571.0
2022-09-04,4472.0,4972.0,3972.0
2022-09-11,4640.0,5140.0,4140.0
2022-09-18,4864.0,5364.0,4364.0
2022-09-25,5115.0,5615.0,4615.0
2022-10-02,5119.0,5619.0,4619.0
2022-10-09,5110.0,5610.0,4610.0
2022-10-16,5469.0,5969.0,4969.0
2022-10-23,5426.0,5926.0,4926.0
2022-10-30,5489.0,5989.0,4989.0
2022-11-06,5367.0,5867.0,4867.0
2022-11-13,5097.0,5597.0,4597.0
2022-11-20,5162.0,5662.0,4662.0
2022-11-27,4996.0,5496.0,4496.0
2022-12-04,4925.0,5425.0,4425.0
2022-12-11,4631.0,5131.0,4131.0
2022-12-18,4280.0,4780.0,3780.0
2022-12-25,3351.0,3851.0,2851.0
