,Net_Artikels
2020-01-05,1179.0
2020-01-12,1375.0
2020-01-19,1824.0
2020-01-26,1914.0
2020-02-02,2007.0
2020-02-09,2176.0
2020-02-16,2278.0
2020-02-23,2408.0
2020-03-01,2515.0
2020-03-08,2554.0
2020-03-15,2770.0
2020-03-22,3003.0
2020-03-29,3109.0
2020-04-05,3305.0
2020-04-12,3352.0
2020-04-19,3247.0
2020-04-26,3363.0
2020-05-03,3390.0
2020-05-10,3592.0
2020-05-17,3765.0
2020-05-24,3900.0
2020-05-31,3916.0
2020-06-07,3978.0
2020-06-14,4037.0
2020-06-21,3941.0
2020-06-28,3897.0
2020-07-05,3887.0
2020-07-12,3744.0
2020-07-19,3674.0
2020-07-26,3652.0
2020-08-02,3451.0
2020-08-09,3059.0
2020-08-16,2823.0
2020-08-23,3155.0
2020-08-30,3487.0
2020-09-06,3512.0
2020-09-13,3783.0
2020-09-20,4066.0
2020-09-27,4223.0
2020-10-04,4146.0
2020-10-11,4248.0
2020-10-18,4523.0
2020-10-25,4667.0
2020-11-01,4619.0
2020-11-08,4340.0
2020-11-15,4057.0
2020-11-22,4038.0
2020-11-29,3921.0
2020-12-06,3831.0
2020-12-13,3184.0
2020-12-20,2617.0
2020-12-27,2235.0
